code,tobe,in,missing,provider,brand,name,description,appliance,classification,storage,price
CT494-04,2,2,0,MAF,MAF,MUELLE CUARTA,20 1/4*20 1/4*2 1/2*307,,MUEL,CONSIGNACION,
CT494-05,2,2,0,MAF,MAF,MUELLE QUINTA,18 15/16*18 15/16*2 1/2*307,,MUEL,CONSIGNACION,
CT494-06,2,2,0,MAF,MAF,MUELLE SEXTA,16 7/16*16 7/16*2 1/2*307,,MUEL,CONSIGNACION,
DIT604-02,2,1,1,MAF,MAF,MUELLE SEGUNDA,36*36*3*1/2,,MUEL,CONSIGNACION,
DIT604-03,2,2,0,MAF,MAF,MUELLE TERCERA,34 1/2*34 1/2*3*1/2,,MUEL,CONSIGNACION,
DIT664-02R,2,1,1,MAF,MAF,MUELLE SEGUNDA REF,17*28 1/2*4*1/2,,MUEL,CONSIGNACION,
DIT664-03R,2,2,0,MAF,MAF,MUELLE TERCERA REF,17*28 1/2*4*1/2,,MUEL,CONSIGNACION,
DIT836-01,1,1,0,MAF,MAF,MUELLE MAESTRA,17*28 1/2*4*558,,MUEL,CONSIGNACION,
DIT836-02M,1,1,0,MAF,MAF,MUELLE SEGUNDA MOD,17*28 1/2*4*558,,MUEL,CONSIGNACION,
DIT836-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,17*28 1/2*4*558,,MUEL,CONSIGNACION,
DIT836-03,1,1,0,MAF,MAF,MUELLE TERCERA,16 1/2*20 1/4*4*558,,MUEL,CONSIGNACION,
DIT836-04,1,1,0,MAF,MAF,MUELLE CUARTA,15 1/4*17*4*558,,MUEL,CONSIGNACION,
DTS6094M-01,10,10,0,MAF,MAF,MUELLE MAESTRA,23 3/4*23 3/4*2 1/4*323,NISSAN,MUEL,CONSIGNACION,
DTS6094M-02,10,11,-1,MAF,MAF,MUELLE SEGUNDA,21 3/4*21 3/4* 2 1/4,NISSAN,MUEL,CONSIGNACION,
DTS6094M-02M,10,5,5,MAF,MAF,MUELLE SEGUNDA MOD,23 3/4*23 3/4*2 1/4*323,NISSAN,MUEL,CONSIGNACION,
DTS6094M-02R,10,10,0,MAF,MAF,MUELLE SEGUNDA REF,23 3/4*23 3/4*2 1/4*323,NISSAN,MUEL,CONSIGNACION,
FAD2500-01,5,5,0,MAF,MAF,MUELLE MAESTRA,25*29*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-02,5,4,1,MAF,MAF,MUELLE SEGUNDA,25*29 1/2*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-03,5,5,0,MAF,MAF,MUELLE TERCERA,21 1/2*25 1/4*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-03R,5,5,0,MAF,MAF,MUELLE TERCERA REF,22 3/4*26 1/2*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-04,5,5,0,MAF,MAF,MUELLE CUARTA,19*22 1/4*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-05,5,5,0,MAF,MAF,MUELLE QUINTA,16 3/4*19 1/4*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-06,5,5,0,MAF,MAF,MUELLE SEXTA,14*16*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAD2500-07,5,5,0,MAF,MAF,MUELLE SEPTIMA,11 1/4*12 3/4*4*401,FAMSA DEL,MUEL,CONSIGNACION,
FAR1900-07,5,5,0,MAF,MAF,MUELLE SEPTIMA,12 7/8*12 7/8*3*1/2,,MUEL,CONSIGNACION,
FAT1900-02,5,4,1,MAF,MAF,MUELLE SEGUNDA,27 1/2*27 1/2*3*1/2,,MUEL,CONSIGNACION,
FAT1900-13,1,1,0,MAF,MAF,MUELLE TIRANTE,26 1/2*3 3/4*3*1/2,,MUEL,CONSIGNACION,
FDP450-02R,6,5,1,MAF,MAF,MUELLE SEGUNDA REF,27 1/2*29*3,FORD TRITON DEL,MUPA,PROPIO,
FLT33-02,4,4,0,MAF,MAF,MUELLE SEGUNDA,26 1/8*29 7/8*3*702,FREIGHTLINER M2 TRA,MUEL,CONSIGNACION,
FLT33-03,0,2,-2,MAF,MAF,MUELLE TERCERA,23 1/4*23 1/4*3*702,FREIGHTLINER M2 TRA,MUEL,PROPIO,
FLT33-04,0,2,-2,MAF,MAF,MUELLE CUARTA,19*19*3*702,FREIGHTLINER M2 TRA,MUEL,PROPIO,
FLT33-05,0,2,-2,MAF,MAF,MUELLE QUINTA,17*17*3*702,FREIGHTLINER M2 TRA,MUEL,PROPIO,
FLT33-06,0,2,-2,MAF,MAF,MUELLE SEXTA,15*15*3*702,FREIGHTLINER M2 TRA,MUEL,PROPIO,
FLT33-07,0,2,-2,MAF,MAF,MUELLE SEPTIMA,14*14*3*702,FREIGHTLINER M2 TRA,MUEL,PROPIO,
