code,tobe,in,missing,provider,brand,name,description,appliance,classification,storage,price
43349-4R,10,10,0,DIREGO,MC,MUELLE CUARTA REF,21 1/2*21 1/2*3*401,GENERAL,MUEL,CONSIGNACION,
43349-5,10,8,2,DIREGO,MC,MUELLE QUINTA,18 1/2*18 1/8*3*401,GENERAL,MUEL,CONSIGNACION,
43349-6,10,9,1,DIREGO,MC,MUELLE SEXTA,15 3/4*15 3/4*3*401,GENERAL,MUEL,CONSIGNACION,
43487-1,0,1,-1,DIREGO,MC,MUELLE MAESTRA,26*26*1/2,GENERAL,MUEL,OBSOLETO,
43487-3,10,7,3,DIREGO,MC,MUELLE TERCERA,23 1/4*23 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43487-4,10,10,0,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43487-4,10,1,9,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*2 1/2,GENERAL,MUEL,OBSOLETO,
43487-5,10,8,2,DIREGO,MC,MUELLE QUINTA,19 1/4*19 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43701-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,22 1/2*28,FORD 350,MUEL,CONSIGNACION,
43701-2,0,1,-1,DIREGO,MC,MUELLE SEGUNDA,22 1/2*28,FORD 350,MUEL,OBSOLETO,
43701-2R,2,2,0,DIREGO,MC,MUELLE SEGUNDA REF,25*31,FORD 350,MUEL,CONSIGNACION,
43804BF-01,6,5,1,MAF,MAF,MUELLE MAESTRA,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43804F,4,4,0,MAF,MAF,PEINE 3 HOJAS,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43804F-02,7,5,2,MAF,MAF,MUELLE SEGUNDA,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43818-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,CONSIGNACION,
43818A-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,CONSIGNACION,
43818A-1,0,3,-3,DIREGO,MC,MUELLE MAESTRA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,OBSOLETO,
45100A-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,38*38 5/8,TORINO TRA,MUEL,CONSIGNACION,
45100A-5,0,1,-1,DIREGO,MC,MUELLE QUINTA,24*24 5/8,TORINO TRA,MUEL,OBSOLETO,
45100A-6,1,1,0,DIREGO,MC,MUELLE SEXTA,20*20 5/8,TORINO TRA,MUEL,CONSIGNACION,
45100A-6,0,1,-1,DIREGO,MC,MUELLE SEXTA,20*20 5/8,TORINO TRA,MUEL,OBSOLETO,
4510A-4,1,1,0,DIREGO,MC,MUELLE CUARTA,28*28 5/8,TORINO TRA,MUEL,CONSIGNACION,
4510A-5,1,1,0,DIREGO,MC,MUELLE QUINTA,24*24 5/8,TORINO TRA,MUEL,CONSIGNACION,
461244BF-01,2,2,0,MAF,MAF,MUELLE MAESTRA,27 15/16*31 1/8*3,,MUPA,CONSIGNACION,
461244F-02,2,2,0,MAF,MAF,MUELLE SEGUNDA,27 15/16*32 15/16*3,,MUPA,CONSIGNACION,
461246-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,27*32*4,FL-70 DEL,MUPA,CONSIGNACION,
46-1280-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,26*29 3/4,FREIGHTLINER,MUPA,CONSIGNACION,
46-1280-1,0,1,-1,DIREGO,MC,MUELLE MAESTRA,26*29 3/4,FREIGHTLINER,MUPA,OBSOLETO,
46-1280-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*29 3/4,FREIGHTLINER,MUPA,CONSIGNACION,
46-1280-2,0,1,-1,DIREGO,MC,MUELLE SEGUNDA,26*29 3/4,FREIGHTLINER,MUPA,OBSOLETO,
461280BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/8*29*4,,MUPA,CONSIGNACION,
461280F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 1/8*30*4,,MUPA,CONSIGNACION,
461302BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*30*4,,MUPA,CONSIGNACION,
461302F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 3/8*30 3/8*4,,MUPA,CONSIGNACION,
461402BF-01,1,0,1,MAF,MAF,MUELLE MAESTRA,26*30*4*1,,MUPA,CONSIGNACION,
461406BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/4*28 3/4*4,FREIGHTLINER,MUPA,CONSIGNACION,
461406F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 1/4*28 3/4*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,36*30*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*30*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432D-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*30*4*1,,MUPA,CONSIGNACION,
461462BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*33*3,,MUPA,CONSIGNACION,
461462F-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*29*3,,MUPA,CONSIGNACION,
461464BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*33 1/4*4,,MUPA,CONSIGNACION,
461464F-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*29*4,,MUPA,CONSIGNACION,
461494BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/16*30 1/8*4,,MUEL,CONSIGNACION,
46-220-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,26*29 5/8,FREIGHTLINER,MUPA,CONSIGNACION,
46-220-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*29 5/8,FREIGHTLINER,MUPA,CONSIGNACION,
46220BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,29 1/2*26 1/2*4,FREIGHTLINER,MUPA,CONSIGNACION,
46220F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,29 1/2*26 1/2*4,FREIGHTLINER,MUPA,CONSIGNACION,
5002A,0,6,-6,PHM,PHM,PERCHA COLUMPIO,FUNDICION,FAMSA DEL,PYSF,PROPIO,
5002B,0,6,-6,PHM,PHM,PERCHA COLUMPIO,FUNDICION,FAMSA DEL,PYSF,PROPIO,
50179-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3,1,1,0,DIREGO,MC,MUELLE TERCERA,16 1/4*15 1/4*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3R,1,1,0,DIREGO,MC,MUELLE TERCERA REF,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3R,1,1,0,DIREGO,MC,MUELLE TERCERA REF,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,OBSOLETO,
50179-4,1,1,0,DIREGO,MC,MUELLE CUARTA,15*14 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50202BF,1,1,0,MAF,MAF,HOJA PARABOLICA,,FREIGHTLINER/CENTURY,MUPA,CONSIGNACION,
50400BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,32*32*4,,MUPA,CONSIGNACION,
55053-1,5,3,2,DIREGO,MC,MUELLE MAESTRA,30 1/2*30 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-2,5,4,1,DIREGO,MC,MUELLE SEGUNDA,27 1/2*27 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-3,5,4,1,DIREGO,MC,MUELLE TERCERA,24*24*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-3R,6,5,1,DIREGO,MC,MUELLE TERCERA REF,26*26*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-4,7,5,2,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-4R,6,6,0,DIREGO,MC,MUELLE CUARTA REF,23*23*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-5,7,7,0,DIREGO,MC,MUELLE QUINTA,18 1/2*18 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-6,5,5,0,DIREGO,MC,MUELLE SEXTA,15 5/8*15 5/8*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-7,5,4,1,DIREGO,MC,MUELLE SEPTIMA,12 7/8*12 7/8*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55067HD,1,1,0,MAF,MAF,MUELLE ZETA,,NAVISTAR,MUEL,CONSIGNACION,
551206A-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,25*29*4,INTERNATIONAL,MUPA,CONSIGNACION,
551206A-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,25*29*4,INTERNATIONAL,MUPA,CONSIGNACION,
551326BF-01,2,2,0,MAF,MAF,MUELLE MAESTRA,25*29*4,,MUPA,CONSIGNACION,
551326F-02,2,3,-1,MAF,MAF,MUELLE SEGUNDA,25*30 3/8,,MUPA,CONSIGNACION,
55834-1,5,5,0,DIREGO,MC,MUELLE MAESTRA,25*29*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-2,7,7,0,DIREGO,MC,MUELLE SEGUNDA,25*29*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-3,5,5,0,DIREGO,MC,MUELLE TERCERA,22 1/4*25 3/4*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-3R,5,5,0,DIREGO,MC,MUELLE TERCERA REF,22 3/4*26 1/2*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-4,5,5,0,DIREGO,MC,MUELLE CUARTA,19 1/2*22 1/2*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-5,5,5,0,DIREGO,MC,MUELLE QUINTA,16 3/4*19 1/4*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-6,5,5,0,DIREGO,MC,MUELLE SEXTA,14*16*4,FAMSA DEL,MUEL,CONSIGNACION,
55834-7,5,5,0,DIREGO,MC,MUELLE SEPTIMA,11 1/4*12 1/4*4,FAMSA DEL,MUEL,CONSIGNACION,
55834A-1,2,2,0,DIREGO,MC,MUELLE MAESTRA RNK,25*29*4,FAMSA DEL,MUEL,CONSIGNACION,
56190-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,25 5/8*25 5/8*2 3/4,IZUZU DEL,MUEL,CONSIGNACION,
56190-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,25 5/8*25 5/8*2 3/4,IZUZU DEL,MUEL,CONSIGNACION,
59231-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,31*31*4*1,KENWORTH TRA,MUEL,CONSIGNACION,
